

wavelength(nm), Y
1590.98, -20.3512
1590.97, -22.0469
1590.96, -24.6614
1590.95, -28.8639
1590.94, -34.2728
1590.93, -30.1541
1590.92, -25.1419
1590.91, -22.0695
1590.9, -20.1699
1590.89, -19.0551
1590.88, -18.5257
1590.87, -18.4752
1590.86, -18.8617
1590.85, -19.7069
1590.84, -21.1153
1590.83, -23.3324
1590.82, -26.8964
1590.81, -32.4501
1590.79, -31.6809
1590.78, -26.1243
1590.77, -22.6543
1590.76, -20.5258
1590.75, -19.2387
1590.74, -18.5452
1590.73, -18.32
1590.72, -18.5151
1590.71, -19.1474
1590.7, -20.3088
1590.69, -22.2061
1590.68, -25.2713
1590.67, -30.2861
1590.66, -33.0249
1590.65, -27.4461
1590.64, -23.4991
1590.63, -21.0856
1590.62, -19.5868
1590.6, -18.7033
1590.59, -18.2917
1590.58, -18.2983
1590.57, -18.7365
1590.56, -19.6889
1590.55, -21.3322
1590.54, -24.0138
1590.53, -28.4133
1590.52, -33.4157
1590.51, -29.127
1590.5, -24.6253
1590.49, -21.8559
1590.48, -20.1009
1590.47, -19.0012
1590.46, -18.3923
1590.45, -18.2143
1590.44, -18.4775
1590.43, -19.2561
1590.42, -20.7
1590.4, -23.0853
1590.39, -26.9512
1590.38, -32.5668
1590.37, -31.0425
1590.36, -25.9889
1590.35, -22.7806
1590.34, -20.7207
1590.33, -19.3789
1590.32, -18.5651
1590.31, -18.2107
1590.3, -18.3218
1590.29, -18.9613
1590.28, -20.25
1590.27, -22.3991
1590.26, -25.8185
1590.25, -31.1189
1590.24, -32.8156
1590.23, -27.4995
1590.21, -23.7668
1590.2, -21.3544
1590.19, -19.7517
1590.18, -18.7346
1590.17, -18.2217
1590.16, -18.2091
1590.15, -18.7417
1590.14, -19.905
1590.13, -21.8494
1590.12, -24.8799
1590.11, -29.5925
1590.1, -33.7547
1590.09, -29.0559
1590.08, -24.7325
1590.07, -21.9275
1590.06, -20.0568
1590.05, -18.8504
1590.04, -18.2054
1590.03, -18.098
1590.01, -18.5446
1590, -19.5912
1589.99, -21.3371
1589.98, -24.0097
1589.97, -28.1135
1589.96, -33.3285
1589.95, -30.5547
1589.94, -25.6402
1589.93, -22.4124
1589.92, -20.2778
1589.91, -18.9046
1589.9, -18.1537
1589.89, -17.9689
1589.88, -18.3309
1589.87, -19.2498
1589.86, -20.788
1589.85, -23.1215
1589.84, -26.665
1589.83, -31.8342
1589.81, -31.8344
1589.8, -26.5066
1589.79, -22.8348
1589.78, -20.4455
1589.77, -18.9256
1589.76, -18.0827
1589.75, -17.8185
1589.74, -18.0793
1589.73, -18.8491
1589.72, -20.1689
1589.71, -22.1818
1589.7, -25.2313
1589.69, -29.9065
1589.68, -32.5692
1589.67, -27.3962
1589.66, -23.2671
1589.65, -20.6255
1589.64, -18.9647
1589.63, -18.0241
1589.61, -17.6614
1589.6, -17.7959
1589.59, -18.3973
1589.58, -19.496
1589.57, -21.2144
1589.56, -23.8414
1589.55, -27.9479
1589.54, -32.3446
1589.53, -28.395
1589.52, -23.8128
1589.51, -20.9024
1589.5, -19.0856
1589.49, -18.0244
1589.48, -17.5362
1589.47, -17.5224
1589.46, -17.946
1589.45, -18.8324
1589.44, -20.2902
1589.43, -22.5663
1589.41, -26.1636
1589.4, -31.1613
1589.39, -29.5496
1589.38, -24.5825
1589.37, -21.3623
1589.36, -19.3546
1589.35, -18.1404
1589.34, -17.5008
1589.33, -17.3237
1589.32, -17.5691
1589.31, -18.2602
1589.3, -19.4948
1589.29, -21.4869
1589.28, -24.6643
1589.27, -29.5508
1589.26, -30.7475
1589.25, -25.6603
1589.24, -22.067
1589.23, -19.8184
1589.21, -18.4147
1589.2, -17.5995
1589.19, -17.249
1589.18, -17.3203
1589.17, -17.835
1589.16, -18.8824
1589.15, -20.6479
1589.14, -23.4887
1589.13, -27.9999
1589.12, -31.6027
1589.11, -27.0655
1589.1, -23.0256
1589.09, -20.4738
1589.08, -18.84
1589.07, -17.8258
1589.06, -17.2932
1589.05, -17.1964
1589.04, -17.5545
1589.03, -18.4482
1589.01, -20.0348
1589, -22.6045
1588.99, -26.6914
1588.98, -31.6543
1588.97, -28.7269
1588.96, -24.1873
1588.95, -21.2598
1588.94, -19.3533
1588.93, -18.1186
1588.92, -17.4001
1588.91, -17.1462
1588.9, -17.3718
1588.89, -18.144
1588.88, -19.5882
1588.87, -21.9298
1588.86, -25.607
1588.85, -30.8788
1588.84, -30.4563
1588.83, -25.4683
1588.81, -22.0883
1588.8, -19.8697
1588.79, -18.4015
1588.78, -17.5032
1588.77, -17.1126
1588.76, -17.2332
1588.75, -17.9106
1588.74, -19.2325
1588.73, -21.3643
1588.72, -24.6525
1588.71, -29.6314
1588.7, -31.8892
1588.69, -26.7944
1588.68, -22.89
1588.67, -20.3278
1588.66, -18.6247
1588.65, -17.5636
1588.64, -17.0621
1588.63, -17.1015
1588.61, -17.6968
1588.6, -18.8962
1588.59, -20.816
1588.58, -23.7298
1588.57, -28.1931
1588.56, -32.4695
1588.55, -28.1235
1588.54, -23.6423
1588.53, -20.7125
1588.52, -18.7824
1588.51, -17.5806
1588.5, -16.9897
1588.49, -16.9573
1588.48, -17.4637
1588.47, -18.5241
1588.46, -20.2204
1588.45, -22.7734
1588.44, -26.6817
1588.43, -31.8254
1588.42, -29.43
1588.4, -24.3767
1588.39, -21.0578
1588.38, -18.9099
1588.37, -17.5831
1588.36, -16.909
1588.35, -16.7953
1588.34, -17.1914
1588.33, -18.0904
1588.32, -19.5535
1588.31, -21.7651
1588.3, -25.1528
1588.29, -30.2405
1588.28, -30.6274
1588.27, -25.1744
1588.26, -21.438
1588.25, -19.0705
1588.24, -17.6176
1588.23, -16.8475
1588.22, -16.6289
1588.2, -16.8889
1588.19, -17.609
