

wavelength(nm), Y
1562.36, -11.0775
1562.33, -11.723
1562.3, -12.4437
1562.26, -13.2528
1562.23, -14.1686
1562.19, -15.2163
1562.16, -16.4326
1562.13, -17.8731
1562.09, -19.6279
1562.06, -21.8579
1562.03, -24.8965
1561.99, -29.6434
1561.96, -40.834
1561.92, -36.2206
1561.89, -28.0925
1561.86, -23.9722
1561.82, -21.2035
1561.79, -19.1232
1561.75, -17.4624
1561.72, -16.0854
1561.69, -14.914
1561.65, -13.8991
1561.62, -13.0081
1561.59, -12.2183
1561.55, -11.5134
1561.52, -10.8811
1561.48, -10.3121
1561.45, -9.79904
1561.42, -9.33585
1561.38, -8.91755
1561.35, -8.53988
1561.31, -8.19913
1561.28, -7.89214
1561.25, -7.61615
1561.21, -7.36888
1561.18, -7.14843
1561.14, -6.95335
1561.11, -6.7826
1561.08, -6.6355
1561.04, -6.51156
1561.01, -6.41062
1560.98, -6.33264
1560.94, -6.27769
1560.91, -6.24584
1560.87, -6.23714
1560.84, -6.25158
1560.81, -6.28906
1560.77, -6.34947
1560.74, -6.43268
1560.7, -6.53867
1560.67, -6.66753
1560.64, -6.81958
1560.6, -6.9954
1560.57, -7.19592
1560.54, -7.4224
1560.5, -7.67653
1560.47, -7.96031
1560.43, -8.27605
1560.4, -8.62656
1560.37, -9.01504
1560.33, -9.44519
1560.3, -9.92133
1560.27, -10.4486
1560.23, -11.0334
1560.2, -11.6835
1560.16, -12.4093
1560.13, -13.2243
1560.1, -14.1468
1560.06, -15.2027
1560.03, -16.4296
1559.99, -17.8847
1559.96, -19.6619
1559.93, -21.9301
1559.89, -25.0451
1559.86, -29.9933
1559.83, -42.535
1559.79, -35.1141
1559.76, -27.5436
1559.72, -23.5641
1559.69, -20.8593
1559.66, -18.8167
1559.62, -17.1824
1559.59, -15.8264
1559.56, -14.6729
1559.52, -13.6742
1559.49, -12.7981
1559.45, -12.022
1559.42, -11.3295
1559.39, -10.7084
1559.35, -10.1493
1559.32, -9.64502
1559.29, -9.18977
1559.25, -8.77873
1559.22, -8.40789
1559.18, -8.07384
1559.15, -7.77359
1559.12, -7.5045
1559.08, -7.26428
1559.05, -7.05093
1559.02, -6.86277
1558.98, -6.69845
1558.95, -6.55698
1558.91, -6.43766
1558.88, -6.34014
1558.85, -6.26432
1558.81, -6.21031
1558.78, -6.1784
1558.75, -6.16895
1558.71, -6.18239
1558.68, -6.21915
1558.64, -6.27946
1558.61, -6.3636
1558.58, -6.47178
1558.54, -6.60423
1558.51, -6.76126
1558.48, -6.94331
1558.44, -7.15102
1558.41, -7.38536
1558.37, -7.64766
1558.34, -7.93968
1558.31, -8.26364
1558.27, -8.62234
1558.24, -9.01914
1558.21, -9.45809
1558.17, -9.94403
1558.14, -10.4828
1558.1, -11.0817
1558.07, -11.7494
1558.04, -12.4975
1558, -13.3407
