

wavelength(nm), Y
1564.74, -11.7635
1564.71, -10.9736
1564.67, -10.2691
1564.64, -9.64037
1564.61, -9.07985
1564.57, -8.58163
1564.54, -8.14063
1564.5, -7.75226
1564.47, -7.41228
1564.44, -7.11679
1564.4, -6.86227
1564.37, -6.6457
1564.33, -6.46457
1564.3, -6.31694
1564.27, -6.20141
1564.23, -6.11707
1564.2, -6.06337
1564.16, -6.04005
1564.13, -6.04703
1564.1, -6.08434
1564.06, -6.15211
1564.03, -6.25059
1563.99, -6.38022
1563.96, -6.54174
1563.93, -6.73633
1563.89, -6.96575
1563.86, -7.23246
1563.82, -7.53975
1563.79, -7.89174
1563.76, -8.29346
1563.72, -8.75085
1563.69, -9.27077
1563.65, -9.86112
1563.62, -10.532
1563.59, -11.2946
1563.55, -12.1622
1563.52, -13.1539
1563.48, -14.297
1563.45, -15.6326
1563.42, -17.2268
1563.38, -19.1938
1563.35, -21.7534
1563.31, -25.4111
1563.28, -31.8132
1563.25, -42.663
1563.21, -29.5854
1563.18, -24.1607
1563.14, -20.8113
1563.11, -18.3889
1563.08, -16.4971
1563.04, -14.9539
1563.01, -13.6607
1562.97, -12.5581
1562.94, -11.6072
1562.91, -10.7809
1562.87, -10.059
1562.84, -9.42583
1562.81, -8.869
1562.77, -8.37845
1562.74, -7.94605
1562.7, -7.56519
1562.67, -7.23056
1562.64, -6.93791
1562.6, -6.68384
1562.57, -6.46561
1562.53, -6.28101
1562.5, -6.12819
1562.47, -6.00565
1562.43, -5.91221
1562.4, -5.84699
1562.36, -5.80949
1562.33, -5.79965
1562.3, -5.81792
1562.26, -5.86529
1562.23, -5.94326
1562.19, -6.05384
1562.16, -6.19938
1562.13, -6.38244
1562.09, -6.60556
1562.06, -6.87111
1562.03, -7.18118
1561.99, -7.5375
1561.96, -7.94163
1561.92, -8.39518
1561.89, -8.90029
1561.86, -9.46018
1561.82, -10.0799
1561.79, -10.7671
1561.75, -11.5334
1561.72, -12.3959
1561.69, -13.3792
1561.65, -14.5198
1561.62, -15.8732
1561.59, -17.5279
1561.55, -19.6387
1561.52, -22.5172
1561.48, -26.9605
1561.45, -36.3362
1561.42, -34.5165
1561.38, -26.151
1561.35, -21.9066
1561.31, -19.08
1561.28, -16.9763
1561.25, -15.3142
1561.21, -13.9514
1561.18, -12.8055
1561.14, -11.8247
1561.11, -10.974
1561.08, -10.229
1561.04, -9.57204
1561.01, -8.98999
1560.98, -8.47284
1560.94, -8.0128
1560.91, -7.60366
1560.87, -7.24034
1560.84, -6.91866
1560.81, -6.63521
1560.77, -6.38722
1560.74, -6.17258
1560.7, -5.98986
1560.67, -5.83823
1560.64, -5.71751
1560.6, -5.62814
1560.57, -5.57225
1560.54, -5.54922
1560.5, -5.55992
1560.47, -5.60503
1560.43, -5.68477
1560.4, -5.79895
1560.37, -5.94693
1560.33, -6.12774
1560.3, -6.34037
1560.27, -6.58404
1560.23, -6.85855
1560.2, -7.16461
1560.16, -7.50412
1560.13, -7.88045
1560.1, -8.29863
1560.06, -8.76555
1560.03, -9.29014
1559.99, -9.88367
1559.96, -10.5601
1559.93, -11.3371
1559.89, -12.237
1559.86, -13.2901
1559.83, -14.539
1559.79, -16.0485
1559.76, -17.9261
1559.72, -20.372
1559.69, -23.8297
1559.66, -29.6489
1559.62, -43.0334
1559.59, -29.8272
1559.56, -23.9471
1559.52, -20.4755
1559.49, -18.0251
1559.45, -16.1433
1559.42, -14.6265
1559.39, -13.3659
1559.35, -12.2964
1559.32, -11.3755
1559.29, -10.574
1559.25, -9.87084
1559.22, -9.24984
1559.18, -8.69862
1559.15, -8.20749
1559.12, -7.76888
1559.08, -7.37701
1559.05, -7.02761
1559.02, -6.71767
1558.98, -6.44519
1558.95, -6.20889
1558.91, -6.00796
1558.88, -5.84178
1558.85, -5.70966
1558.81, -5.61071
1558.78, -5.54377
1558.75, -5.50744
1558.71, -5.50022
1558.68, -5.52069
1558.64, -5.56774
1558.61, -5.64079
1558.58, -5.73993
1558.54, -5.86604
1558.51, -6.02082
1558.48, -6.20677
1558.44, -6.42705
1558.41, -6.68538
1558.37, -6.98589
1558.34, -7.33303
1558.31, -7.73154
1558.27, -8.18657
1558.24, -8.70395
1558.21, -9.29068
1558.17, -9.95564
1558.14, -10.7106
1558.1, -11.5717
1558.07, -12.5619
1558.04, -13.7146
1558, -15.08
1557.97, -16.7388
1557.94, -18.8308
1557.9, -21.6322
1557.87, -25.8217
1557.83, -33.9998
1557.8, -36.4458
1557.77, -26.8322
1557.73, -22.3154
1557.7, -19.3927
